Common Name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,SARA schedule,Listed on,Range,Taxonomic group,Under consideration for,GIC Decision
Banded Cord-moss,,Special Concern,01/05/15,Entosthodon fascicularis,Banded Cord-moss,,Special Concern,Schedule 1,15/08/06,British Columbia,Mosses,,Add
Banded Killifish,Mainland populations,Not at Risk,01/04/89,Fundulus diaphanus,,,No Status,No schedule,,"Prince Edward Island, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Fishes (freshwater),,
Banded Killifish,Newfoundland populations,Special Concern,02/05/14,Fundulus diaphanus,Banded Killifish,Newfoundland populations,Special Concern,Schedule 1,12/01/05,Newfoundland and Labrador,Fishes (freshwater),,Add
Banff Longnose Dace,,Extinct,01/05/00,Rhinichthys cataractae  smithi,,,No Status,No schedule,,Alberta,Fishes (freshwater),,
Banff Springs Snail,,Endangered,27/04/18,Physella johnsoni,Banff Springs Snail,,Endangered,Schedule 1,05/06/03,Alberta,Molluscs,,
Bank Swallow,,Threatened,03/05/13,Riparia riparia,Bank Swallow,,Threatened,Schedule 1,02/11/17,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,,Add
Barn Owl,,Non-active,01/04/99,Tyto alba,Barn Owl,,No Status,No schedule,,"British Columbia, Ontario, Quebec",Birds,,
Barn Owl,Eastern population,Endangered,26/11/10,Tyto alba,Barn Owl,Eastern population,Endangered,Schedule 1,05/06/03,Ontario,Birds,,
Barn Owl,Western population,Threatened,26/11/10,Tyto alba,Barn Owl,Western population,Threatened,Schedule 1,05/06/03,British Columbia,Birds,,Uplist
Barn Swallow,,Special Concern,05/05/21,Hirundo rustica,Barn Swallow,,Threatened,Schedule 1,02/11/17,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,Status change,Pending
Barndoor Skate,,Not at Risk,26/11/10,Dipturus laevis,,,No Status,No schedule,,Atlantic Ocean,Fishes (marine),,
Caribou,Dolphin and Union population,Endangered,01/11/17,Rangifer tarandus,Barren-ground Caribou,Dolphin and Union population,Special Concern,Schedule 1,04/02/11,"Northwest Territories, Nunavut",Mammals (terrestrial),Status change,Pending
Barrens Willow,,Endangered,01/05/01,Salix jejuna,Barrens Willow,,Endangered,Schedule 1,05/06/03,Newfoundland and Labrador,Vascular Plants,,Add
Barrow's Goldeneye,Eastern population,Special Concern,06/05/11,Bucephala islandica,Barrow's Goldeneye,Eastern population,Special Concern,Schedule 1,05/06/03,"Prince Edward Island, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,,
Bashful Bulrush,,Endangered,01/05/00,Trichophorum planifolium,Bashful Bulrush,,Endangered,Schedule 1,05/06/03,Ontario,Vascular Plants,,Add
Basking Shark,Atlantic population,Special Concern,27/11/09,Cetorhinus maximus,Basking Shark,Atlantic population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Basking Shark,Pacific population,Endangered,27/04/18,Cetorhinus maximus,Basking Shark,Pacific population,Endangered,Schedule 1,23/02/10,"British Columbia, Pacific Ocean",Fishes (marine),,Add
Annual Saltmarsh Aster,,Not at Risk,28/04/17,Symphyotrichum subulatum,Bathurst Aster,Bathurst population,Special Concern,,,"Prince Edward Island, Quebec, New Brunswick",Vascular Plants,,
Batwing Vinyl Lichen,,Endangered,06/05/11,Leptogium platynum,Batwing Vinyl Lichen,,Endangered,Schedule 1,03/02/17,British Columbia,Lichens,,Add
Beach Pinweed,,Special Concern,25/04/08,Lechea maritima,Beach Pinweed,,Special Concern,Schedule 1,23/02/10,"Prince Edward Island, New Brunswick",Vascular Plants,,Add
Bear's-foot Sanicle,,Threatened,26/11/15,Sanicula arctopoides,Bear's-foot Sanicle,,Threatened,Schedule 1,05/06/03,British Columbia,Vascular Plants,,Downlist
Bearded Owl-clover,,Endangered,25/11/11,Triphysaria versicolor,Bearded Owl-clover,,Endangered,Schedule 1,05/06/03,British Columbia,Vascular Plants,,
Bearded Seal,,Data Deficient,22/04/07,Erignathus barbatus,Bearded Seal,,No Status,No schedule,,"Northwest Territories, Nunavut, Arctic Ocean, Atlantic Ocean, Manitoba, Ontario, Newfoundland and Labrador",Mammals (marine),,
Behr's Hairstreak,,Endangered,04/05/12,Satyrium behrii,Behr's Hairstreak,,Endangered,Schedule 1,05/06/03,British Columbia,Arthropods,,Uplist
Beluga Whale,Cumberland Sound population,Endangered,04/11/20,Delphinapterus leucas,Beluga Whale,Cumberland Sound population,Threatened,Schedule 1,13/04/17,"Nunavut, Arctic Ocean",Mammals (marine),Status change,Pending
Beluga Whale,Eastern Beaufort Sea population,Not at Risk,01/05/04,Delphinapterus leucas,,,No Status,No schedule,,"Northwest Territories, Arctic Ocean",Mammals (marine),,
Beluga Whale,Eastern High Arctic - Baffin Bay population,Special Concern,04/11/20,Delphinapterus leucas,Beluga Whale,Eastern High Arctic - Baffin Bay population,No Status,No schedule,,"Nunavut, Arctic Ocean",Mammals (marine),Addition,Pending
Beluga Whale,Eastern Hudson Bay population,Threatened,04/11/20,Delphinapterus leucas,Beluga Whale,Eastern Hudson Bay population,No Status,No schedule,,"Nunavut, Arctic Ocean, Atlantic Ocean, Quebec, Newfoundland and Labrador",Mammals (marine),Addition,Pending
Beluga Whale,James Bay population,Not at Risk,04/11/20,Delphinapterus leucas,,,No Status,No schedule,,"Nunavut, Ontario, Quebec",Mammals (marine),,
Beluga Whale,Southeast Baffin Island-Cumberland Sound population,Non-active,01/05/04,Delphinapterus leucas,Beluga Whale,Southeast Baffin Island-Cumberland Sound population,Endangered,,,"Nunavut, Arctic Ocean",Mammals (marine),,
