Common Name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,SARA schedule,Listed on,Range,Taxonomic group,Under consideration for,GIC Decision
Black-tailed Prairie Dog,,Threatened,25/11/11,Cynomys ludovicianus,Black-tailed Prairie Dog,,Threatened,Schedule 1,05/06/03,Saskatchewan,Mammals (terrestrial),,Uplist
Blackchin Shiner,,Not at Risk,01/04/94,Notropis heterodon,,,No Status,No schedule,,"Manitoba, Ontario, Quebec",Fishes (freshwater),,
Blackfin Cisco,,Data Deficient,22/04/07,Coregonus nigripinnis,Blackfin Cisco,,Threatened,,,Ontario,Fishes (freshwater),,
Blackline Prickleback,,Data Deficient,01/05/03,Acantholumpenus mackayi,Blackline Prickleback,,Special Concern,,,Arctic Ocean,Fishes (marine),,
Blackstripe Topminnow,,Special Concern,04/05/12,Fundulus notatus,Blackstripe Topminnow,,Special Concern,Schedule 1,05/06/03,Ontario,Fishes (freshwater),,
Blainville's Beaked Whale,,Not at Risk,01/04/89,Mesoplodon densirostris,,,No Status,No schedule,,Atlantic Ocean,Mammals (marine),,
Blanchard's Cricket Frog,,Endangered,06/05/11,Acris blanchardi,Blanchard's Cricket Frog,,Endangered,Schedule 1,05/06/03,Ontario,Amphibians,,
Blanding's Turtle,Great Lakes / St. Lawrence population,Endangered,27/11/16,Emydoidea blandingii,Blanding's Turtle,Great Lakes / St. Lawrence population,Endangered,Schedule 1,15/08/06,"Ontario, Quebec",Reptiles,,Uplist
Blanding's Turtle,Nova Scotia population,Endangered,27/11/16,Emydoidea blandingii,Blanding's Turtle,Nova Scotia population,Endangered,Schedule 1,15/08/06,Nova Scotia,Reptiles,,Add
Bloater,,Not at Risk,01/04/88,Coregonus hoyi,,,No Status,No schedule,,Ontario,Fishes (freshwater),,
Blue Ash,,Threatened,28/11/14,Fraxinus quadrangulata,Blue Ash,,Special Concern,Schedule 1,05/06/03,Ontario,Vascular Plants,Status change,Pending
Blue Felt Lichen,,Special Concern,26/11/10,Degelia plumbea,Blue Felt Lichen,,Special Concern,Schedule 1,02/06/17,"Newfoundland and Labrador, New Brunswick, Nova Scotia",Lichens,,Add
Blue Phlox,,Not at Risk,01/04/96,Phlox alyssifolia,,,No Status,No schedule,,"Alberta, Saskatchewan",Vascular Plants,,
Blue Racer,,Endangered,04/05/12,Coluber constrictor  foxii,Blue Racer,,Endangered,Schedule 1,12/01/05,Ontario,Reptiles,,Add
Blue Shark,North Atlantic population,Not at Risk,27/11/16,Prionace glauca,Blue Shark,North Atlantic population,No Status,No schedule,,"Prince Edward Island, Atlantic Ocean, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Fishes (marine),,
Blue Shark,North Pacific population,Not at Risk,27/11/16,Prionace glauca,Blue Shark,North Pacific population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Blue Walleye,,Extinct,01/05/00,Sander vitreus  glaucus,,,No Status,No schedule,,Ontario,Fishes (freshwater),,
Blue Whale,,Non-active,01/05/02,Balaenoptera musculus,Blue Whale,,Special Concern,,,"Atlantic Ocean, Pacific Ocean",Mammals (marine),,
Blue Whale,Atlantic population,Endangered,04/05/12,Balaenoptera musculus,Blue Whale,Atlantic population,Endangered,Schedule 1,12/01/05,Atlantic Ocean,Mammals (marine),,Add
Blue Whale,Pacific population,Endangered,04/05/12,Balaenoptera musculus,Blue Whale,Pacific population,Endangered,Schedule 1,12/01/05,Pacific Ocean,Mammals (marine),,Add
Blue-grey Taildropper,,Threatened,29/04/16,Prophysaon coeruleum,Blue-grey Taildropper,,Threatened,Schedule 1,13/12/07,British Columbia,Molluscs,,Downlist
Blueback Herring,,Not at Risk,01/04/80,Alosa aestivalis,,,No Status,No schedule,,"Atlantic Ocean, New Brunswick, Nova Scotia",Fishes (marine),,
Bluehearts,,Endangered,25/11/11,Buchnera americana,Bluehearts,,Endangered,Schedule 1,05/06/03,Ontario,Vascular Plants,,
Blunt-lobed Woodsia,,Threatened,22/04/07,Woodsia obtusa,Blunt-lobed Woodsia,,Threatened,Schedule 1,05/06/03,"Ontario, Quebec",Vascular Plants,,Downlist
Bluntnose Minnow,,Not at Risk,01/04/98,Pimephales notatus,,,No Status,No schedule,,"Manitoba, Ontario, Quebec",Fishes (freshwater),,
Bluntnose Sixgill Shark,,Special Concern,22/04/07,Hexanchus griseus,Bluntnose Sixgill Shark,,Special Concern,Schedule 1,05/03/09,Pacific Ocean,Fishes (marine),,Add
Bobolink,,Threatened,25/04/10,Dolichonyx oryzivorus,Bobolink,,Threatened,Schedule 1,02/11/17,"British Columbia, Prince Edward Island, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,,Add
Bocaccio,,Endangered,01/11/13,Sebastes paucispinis,Bocaccio,,No Status,No schedule,,Pacific Ocean,Fishes (marine),Addition,Pending
Bog Bird‰Ûªs-foot Trefoil,,Endangered,01/05/04,Lotus pinnatus,Bog Bird‰Ûªs-foot Trefoil,,Endangered,Schedule 1,14/07/05,British Columbia,Vascular Plants,,Add
Bogbean Buckmoth,,Endangered,27/11/09,Hemileuca  sp.,Bogbean Buckmoth,,Endangered,Schedule 1,20/06/12,Ontario,Arthropods,,Add
Bolander's Quillwort,,Threatened,29/04/06,Isoetes bolanderi,Bolander's Quillwort,,Threatened,Schedule 1,13/12/07,Alberta,Vascular Plants,,Add
Boreal Felt Lichen,Atlantic population,Endangered,28/11/14,Erioderma pedicellatum,Boreal Felt Lichen,Atlantic population,Endangered,Schedule 1,12/01/05,"New Brunswick, Nova Scotia",Lichens,,Add
Boreal Felt Lichen,Boreal population,Special Concern,28/11/14,Erioderma pedicellatum,Boreal Felt Lichen,Boreal population,Special Concern,Schedule 1,12/01/05,Newfoundland and Labrador,Lichens,,Add
Boreal Owl,,Not at Risk,01/04/95,Aegolius funereus,,,No Status,No schedule,,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,,
Bowhead Whale,Bering-Chukchi-Beaufort population,Special Concern,26/04/09,Balaena mysticetus,Bowhead Whale,Bering-Chukchi-Beaufort population,Special Concern,Schedule 1,13/12/07,Arctic Ocean,Mammals (marine),,Add
Bowhead Whale,Davis Strait-Baffin Bay population,Non-active,26/04/09,Balaena mysticetus,Bowhead Whale,Davis Strait-Baffin Bay population,No Status,No schedule,,Arctic Ocean,Mammals (marine),,
Bowhead Whale,Eastern and Western Arctic populations,Non-active,01/04/86,Balaena mysticetus,Bowhead Whale,Eastern and Western Arctic populations,No Status,No schedule,,Arctic Ocean,Mammals (marine),,
Bowhead Whale,Eastern Arctic population,Non-active,05/05/05,Balaena mysticetus,Bowhead Whale,Eastern Arctic population,Endangered,,,Arctic Ocean,Mammals (marine),,
Bowhead Whale,Eastern Canada-West Greenland population,Special Concern,26/04/09,Balaena mysticetus,Bowhead Whale,Eastern Canada-West Greenland population,No Status,No schedule,,Arctic Ocean,Mammals (marine),Addition,Pending
Bowhead Whale,Hudson Bay-Foxe Basin population,Non-active,26/04/09,Balaena mysticetus,Bowhead Whale,Hudson Bay-Foxe Basin population,No Status,No schedule,,Arctic Ocean,Mammals (marine),,
Branched Bartonia,,Threatened,01/11/03,Bartonia paniculata  ssp. paniculata,Branched Bartonia,,Threatened,Schedule 1,14/07/05,Ontario,Vascular Plants,,Add
Branched Phacelia,,Endangered,05/05/05,Phacelia ramosissima,Branched Phacelia,,Endangered,Schedule 1,15/08/06,British Columbia,Vascular Plants,,Add
Bridle Shiner,,Special Concern,03/05/13,Notropis bifrenatus,Bridle Shiner,,Special Concern,Schedule 1,05/06/03,"Ontario, Quebec",Fishes (freshwater),,
Brindled Madtom,,Not at Risk,01/05/01,Noturus miurus,,,No Status,No schedule,,Ontario,Fishes (freshwater),,
Broad Beech Fern,,Special Concern,01/04/83,Phegopteris hexagonoptera,Broad Beech Fern,,Special Concern,,,"Ontario, Quebec",Vascular Plants,,
Broad-banded Forestsnail,,Endangered,28/11/14,Allogona profunda,Broad-banded Forestsnail,,Endangered,Schedule 1,25/02/19,Ontario,Molluscs,,Add
Brook Floater,,Special Concern,26/04/09,Alasmidonta varicosa,Brook Floater,,Special Concern,Schedule 1,08/03/13,"New Brunswick, Nova Scotia",Molluscs,,Add
Brook Silverside,,Not at Risk,01/04/89,Labidesthes sicculus,,,No Status,No schedule,,"Ontario, Quebec",Fishes (freshwater),,
Brook Spike-primrose,,Endangered,01/11/18,Epilobium torreyi,Brook Spike-primrose,,Endangered,Schedule 1,13/12/07,British Columbia,Vascular Plants,,Add
Brown Cat Shark,,Data Deficient,22/04/07,Apristurus brunneus,Brown Cat Shark,,No Status,No schedule,,Pacific Ocean,Fishes (marine),,
Buff-breasted Sandpiper,,Special Concern,04/05/12,Tryngites subruficollis,Buff-breasted Sandpiper,,Special Concern,Schedule 1,03/02/17,"British Columbia, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec",Birds,,Add
Buffalograss,,Special Concern,25/11/11,Bouteloua dactyloides,Buffalograss,,Special Concern,Schedule 1,05/06/03,"Saskatchewan, Manitoba",Vascular Plants,,Downlist
Bull Trout,Pacific populations,Not at Risk,25/11/12,Salvelinus confluentus,,,No Status,No schedule,,British Columbia,Fishes (freshwater),,
Bull Trout,Saskatchewan - Nelson Rivers populations,Threatened,25/11/12,Salvelinus confluentus,Bull Trout,Saskatchewan - Nelson Rivers populations,Threatened,Schedule 1,08/08/19,Alberta,Fishes (freshwater),,Add
Bull Trout,South Coast British Columbia populations,Special Concern,25/11/12,Salvelinus confluentus,Bull Trout,South Coast British Columbia populations,Special Concern,Schedule 1,08/08/19,British Columbia,Fishes (freshwater),,Add
Bull Trout,Upper Yukon Watershed populations,Data Deficient,25/11/12,Salvelinus confluentus,Bull Trout,Upper Yukon Watershed populations,No Status,No schedule,,"British Columbia, Yukon",Fishes (freshwater),,
Bull Trout,Western Arctic populations,Special Concern,25/11/12,Salvelinus confluentus,Bull Trout,Western Arctic populations,Special Concern,Schedule 1,08/08/19,"British Columbia, Yukon, Northwest Territories, Alberta",Fishes (freshwater),,Add
Bullsnake,,Special Concern,28/04/17,Pituophis catenifer  sayi,Bullsnake,,Special Concern,Schedule 1,12/08/21,"Alberta, Saskatchewan",Reptiles,,Add
Burrowing Owl,,Endangered,28/04/17,Athene cunicularia,Burrowing Owl,,Endangered,Schedule 1,05/06/03,"British Columbia, Alberta, Saskatchewan, Manitoba",Birds,,
Butler's Gartersnake,,Endangered,26/11/10,Thamnophis butleri,Butler's Gartersnake,,Endangered,Schedule 1,05/06/03,Ontario,Reptiles,,Uplist
Butternut,,Endangered,28/04/17,Juglans cinerea,Butternut,,Endangered,Schedule 1,14/07/05,"Ontario, Quebec, New Brunswick",Vascular Plants,,Add
California Buttercup,,Endangered,28/11/08,Ranunculus californicus,California Buttercup,,Endangered,Schedule 1,04/02/11,British Columbia,Vascular Plants,,Add
California Sea Lion,,Not at Risk,01/04/87,Zalophus californianus,,,No Status,No schedule,,"British Columbia, Pacific Ocean",Mammals (marine),,
Canada Lynx,,Not at Risk,01/05/01,Lynx canadensis,,,No Status,No schedule,,"British Columbia, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Mammals (terrestrial),,
Canada Warbler,,Special Concern,04/11/20,Cardellina canadensis,Canada Warbler,,Threatened,Schedule 1,23/02/10,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Birds,Status change,Pending
Canadian Toad,,Not at Risk,01/05/03,Bufo hemiophrys,,,No Status,No schedule,,"Northwest Territories, Alberta, Saskatchewan, Manitoba",Amphibians,,
Canary Rockfish,,Threatened,30/11/07,Sebastes pinniger,Canary Rockfish,,No Status,No schedule,,Pacific Ocean,Fishes (marine),,Not to list
Canyon Wren,,Not at Risk,01/04/92,Catherpes mexicanus,,,No Status,No schedule,,British Columbia,Birds,,
Carey‰Ûªs Small Limestone Moss,,Endangered,03/05/19,Seligeria careyana,Carey‰Ûªs Small Limestone Moss,,No Status,No schedule,,British Columbia,Mosses,Addition,Pending
Caribou dawsoni subspecies,,Extinct,01/05/00,Rangifer tarandus  dawsoni,,,No Status,No schedule,,British Columbia,Mammals (terrestrial),,
Caribou,Barren-ground population,Threatened,27/11/16,Rangifer tarandus,Caribou,Barren-ground population,No Status,No schedule,,"Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba",Mammals (terrestrial),Addition,Pending
Caribou,Central Mountain population,Endangered,02/05/14,Rangifer tarandus,Caribou,Central Mountain population,No Status,No schedule,05/06/03,"British Columbia, Alberta",Mammals (terrestrial),Addition,Pending
Caribou,Eastern Migratory population,Endangered,28/04/17,Rangifer tarandus,Caribou,Eastern Migratory population,No Status,No schedule,,"Manitoba, Ontario, Quebec, Newfoundland and Labrador",Mammals (terrestrial),Addition,Pending
Caribou,Newfoundland population,Special Concern,28/11/14,Rangifer tarandus,Caribou,Newfoundland population,Special Concern,Schedule 1,12/08/21,Newfoundland and Labrador,Mammals (terrestrial),,Add
Caribou,Northern Mountain population,Special Concern,02/05/14,Rangifer tarandus,Caribou,Northern Mountain population,No Status,No schedule,05/06/03,"British Columbia, Yukon, Northwest Territories",Mammals (terrestrial),Addition,Pending
Caribou,Southern Mountain population,Endangered,02/05/14,Rangifer tarandus,Caribou,Southern Mountain population,No Status,No schedule,05/06/03,British Columbia,Mammals (terrestrial),Addition,Pending
Caribou,Torngat Mountains population,Endangered,27/11/16,Rangifer tarandus,Caribou,Torngat Mountains population,No Status,No schedule,,"Nunavut, Quebec, Newfoundland and Labrador",Mammals (terrestrial),Addition,Pending
Carmine Shiner,,Endangered,27/04/18,Notropis percobromus,Carmine Shiner,,Endangered,Schedule 1,05/06/03,Manitoba,Fishes (freshwater),,Uplist
Carolina Mantleslug,,Threatened,29/11/19,Philomycus carolinianus,Carolina Mantleslug,,No Status,No schedule,,Ontario,Molluscs,Addition,Pending
Cascade Mantled Ground Squirrel,,Not at Risk,01/04/92,Spermophilus saturatus,,,No Status,No schedule,,British Columbia,Mammals (terrestrial),,
Caspian Tern,,Not at Risk,01/04/99,Sterna caspia,,,No Status,No schedule,,"British Columbia, Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador",Birds,,
Cassin's Auklet,,Special Concern,28/11/14,Ptychoramphus aleuticus,Cassin's Auklet,,Special Concern,Schedule 1,22/05/19,"British Columbia, Pacific Ocean",Birds,,Add
Central Stoneroller,,Not at Risk,01/04/98,Campostoma anomalum,,,No Status,No schedule,,Ontario,Fishes (freshwater),,
Cerulean Warbler,,Endangered,26/11/10,Setophaga cerulea,Cerulean Warbler,,Endangered,Schedule 1,12/01/05,"Ontario, Quebec",Birds,,Uplist
Chain Pickerel,,Not at Risk,01/04/97,Esox niger,,,No Status,No schedule,,"Quebec, New Brunswick, Nova Scotia",Fishes (freshwater),,
Channel Darter,,Non-active,27/11/16,Percina copelandi,Channel Darter,,No Status,No schedule,06/04/06,"Ontario, Quebec",Fishes (freshwater),,Struck
Channel Darter,Lake Erie populations,Endangered,27/11/16,Percina copelandi,Channel Darter,Lake Erie populations,Endangered,Schedule 1,06/04/06,Ontario,Fishes (freshwater),,Uplist
Channel Darter,Lake Ontario populations,Endangered,27/11/16,Percina copelandi,Channel Darter,Lake Ontario populations,Endangered,Schedule 1,06/04/06,Ontario,Fishes (freshwater),,Uplist
Channel Darter,St. Lawrence populations,Special Concern,27/11/16,Percina copelandi,Channel Darter,St. Lawrence populations,Special Concern,Schedule 1,06/04/06,"Ontario, Quebec",Fishes (freshwater),,Downlist
Cherry Birch,,Endangered,29/04/06,Betula lenta,Cherry Birch,,Endangered,Schedule 1,13/12/07,Ontario,Vascular Plants,,Add
Chestnut Lamprey,,Non-active,26/11/10,Ichthyomyzon castaneus,Chestnut Lamprey,,Special Concern,,,"Saskatchewan, Manitoba",Fishes (freshwater),,
Chestnut Lamprey,Great Lakes - Upper St. Lawrence populations,Data Deficient,26/11/10,Ichthyomyzon castaneus,Chestnut Lamprey,Great Lakes - Upper St. Lawrence populations,No Status,,,"Ontario, Quebec",Fishes (freshwater),,
Chestnut Lamprey,Saskatchewan - Nelson River populations,Data Deficient,26/11/10,Ichthyomyzon castaneus,Chestnut Lamprey,Saskatchewan - Nelson River populations,No Status,,,"Saskatchewan, Manitoba, Ontario",Fishes (freshwater),,
Chestnut-collared Longspur,,Endangered,29/11/19,Calcarius ornatus,Chestnut-collared Longspur,,Threatened,Schedule 1,20/06/12,"Alberta, Saskatchewan, Manitoba",Birds,Status change,Pending
Chimney Swift,,Threatened,27/04/18,Chaetura pelagica,Chimney Swift,,Threatened,Schedule 1,05/03/09,"Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Birds,,Add
Chinook Salmon,"East Vancouver Island, Ocean, Fall (EVI + SFj) population",Not at Risk,04/11/20,Oncorhynchus tshawytscha,,,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Chinook Salmon,"East Vancouver Island, Ocean, Fall population",Special Concern,04/11/20,Oncorhynchus tshawytscha,Chinook Salmon,"East Vancouver Island, Ocean, Fall population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"East Vancouver Island, Ocean, Summer population",Endangered,04/11/20,Oncorhynchus tshawytscha,Chinook Salmon,"East Vancouver Island, Ocean, Summer population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"East Vancouver Island, Stream, Spring population",Endangered,01/11/18,Oncorhynchus tshawytscha,Chinook Salmon,"East Vancouver Island, Stream, Spring population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Lower Fraser, Ocean, Fall population",Threatened,01/11/18,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Fraser, Ocean, Fall population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Lower Fraser, Ocean, Summer population",Endangered,04/11/20,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Fraser, Ocean, Summer population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Lower Fraser, Stream, Spring population",Special Concern,01/11/18,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Fraser, Stream, Spring population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Lower Fraser, Stream, Summer (Upper Pitt) population",Endangered,01/11/18,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Fraser, Stream, Summer (Upper Pitt) population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Lower Fraser, Stream, Summer population",Threatened,01/11/18,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Fraser, Stream, Summer population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Lower Thompson, Stream, Spring population",Endangered,04/11/20,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Thompson, Stream, Spring population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Middle Fraser, Stream, Fall population",Endangered,01/11/18,Oncorhynchus tshawytscha,Chinook Salmon,"Middle Fraser, Stream, Fall population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Middle Fraser, Stream, Spring (MFR+GStr) population",Threatened,01/11/18,Oncorhynchus tshawytscha,Chinook Salmon,"Middle Fraser, Stream, Spring (MFR+GStr) population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Middle Fraser, Stream, Spring population",Endangered,01/11/18,Oncorhynchus tshawytscha,Chinook Salmon,"Middle Fraser, Stream, Spring population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
